Image,Reading
512x512CT.dcm,36.6715
512x512CT.dcm,45.5803
512x512CT.dcm,37.6248
512x512CT.dcm,37.3729
512x512CT.dcm,37.4712
512x512CT.dcm,39.1107
512x512CT.dcm,45.7411
512x512CT.dcm,37.8245
512x512CT.dcm,35.7815
512x512CT.dcm,39.039
512x512CT.dcm,36.2076
1024x1024.dcm,132.735
1024x1024.dcm,136.634
1024x1024.dcm,130.588
1024x1024.dcm,150.47
1024x1024.dcm,148.023
1024x1024.dcm,137.117
1024x1024.dcm,132.377
1024x1024.dcm,140.237
1024x1024.dcm,160.941
1024x1024.dcm,152.3
MR.dcm,9.4464
MR.dcm,9.4505
MR.dcm,9.36448
MR.dcm,9.90826
MR.dcm,12.8778
MR.dcm,8.68045
MR.dcm,9.8529
MR.dcm,9.18112
MR.dcm,8.91699
MR.dcm,13.4298
