Image,Number of Threads,Reading
512x512CT.dcm,16,7.35014
512x512CT.dcm,16,7.63222
512x512CT.dcm,16,7.34253
512x512CT.dcm,16,7.34301
512x512CT.dcm,16,7.34202
512x512CT.dcm,16,7.3463
512x512CT.dcm,16,7.34493
512x512CT.dcm,16,7.34694
512x512CT.dcm,16,7.38947
512x512CT.dcm,16,7.3449
512x512CT.dcm,16,7.34832
1024x1024.dcm,16,28.914
1024x1024.dcm,16,28.9147
1024x1024.dcm,16,28.9126
1024x1024.dcm,16,28.9066
1024x1024.dcm,16,28.9082
1024x1024.dcm,16,28.9141
1024x1024.dcm,16,28.9074
1024x1024.dcm,16,28.9126
1024x1024.dcm,16,29.0996
1024x1024.dcm,16,29.2087
1024x1024.dcm,16,28.9104
MR.dcm,16,1.93814
MR.dcm,16,1.93795
MR.dcm,16,1.93664
MR.dcm,16,1.93773
MR.dcm,16,1.93853
MR.dcm,16,1.93587
MR.dcm,16,1.94051
MR.dcm,16,1.93731
MR.dcm,16,1.93683
MR.dcm,16,1.9384
512x512CT.dcm,32,7.57571
512x512CT.dcm,32,7.56691
512x512CT.dcm,32,7.56374
512x512CT.dcm,32,7.56925
512x512CT.dcm,32,7.56026
512x512CT.dcm,32,7.56406
512x512CT.dcm,32,7.56845
512x512CT.dcm,32,7.56432
512x512CT.dcm,32,7.5647
512x512CT.dcm,32,7.55546
512x512CT.dcm,32,7.7912
512x512CT.dcm,32,7.55702
1024x1024.dcm,32,30.2824
1024x1024.dcm,32,30.5849
1024x1024.dcm,32,31.235
1024x1024.dcm,32,30.284
1024x1024.dcm,32,30.2596
1024x1024.dcm,32,30.2899
1024x1024.dcm,32,30.2439
1024x1024.dcm,32,30.2779
1024x1024.dcm,32,30.2556
1024x1024.dcm,32,30.2568
1024x1024.dcm,32,30.2651
1024x1024.dcm,32,30.2507
1024x1024.dcm,32,30.2778
1024x1024.dcm,32,30.2691
MR.dcm,32,1.97811
MR.dcm,32,1.97763
MR.dcm,32,1.97872
MR.dcm,32,1.97603
MR.dcm,32,1.97741
MR.dcm,32,1.9783
MR.dcm,32,1.97789
MR.dcm,32,1.98307
MR.dcm,32,1.97837
MR.dcm,32,1.97894
MR.dcm,32,1.9767
MR.dcm,32,1.97715
